Date,Total Recovered,Growth Factor
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,1,0.0
2020-02-14,1,0.0
2020-02-15,1,0.0
2020-02-16,2,0.0
2020-02-17,2,0.0
2020-02-18,2,0.0
2020-02-19,2,0.0
2020-02-20,3,0.0
2020-02-21,3,0.0
2020-02-22,3,0.0
2020-02-23,3,0.0
2020-02-24,3,0.0
2020-02-25,3,0.0
2020-02-26,3,0.0
2020-02-27,3,0.0
2020-02-28,3,0.0
2020-02-29,3,0.0
2020-03-01,3,0.0
2020-03-02,3,0.0
2020-03-03,3,0.0
2020-03-04,3,0.0
2020-03-05,3,0.0
2020-03-06,3,0.0
2020-03-07,3,0.0
2020-03-08,3,0.0
2020-03-09,3,0.0
2020-03-10,4,0.0
2020-03-11,4,0.0
2020-03-12,4,0.0
2020-03-13,10,0.0
2020-03-14,10,0.0
2020-03-15,13,0.0
2020-03-16,14,0.3333333333333333
2020-03-17,15,1.0
2020-03-18,15,0.0
2020-03-19,20,0.0
2020-03-20,23,0.6
2020-03-21,23,0.0
2020-03-22,23,0.0
2020-03-23,25,0.0
2020-03-24,40,7.5
2020-03-25,43,0.2
2020-03-26,50,2.3333333333333335
2020-03-27,75,3.5714285714285716
2020-03-28,85,0.4
2020-03-29,102,1.7
2020-03-30,137,2.0588235294117645
2020-03-31,150,0.37142857142857144
2020-04-01,169,1.4615384615384615
2020-04-02,191,1.1578947368421053
2020-04-03,230,1.7727272727272727
2020-04-04,286,1.435897435897436
2020-04-05,329,0.7678571428571429
2020-04-06,394,1.5116279069767442
2020-04-07,469,1.1538461538461537
2020-04-08,565,1.28
2020-04-09,635,0.7291666666666666
2020-04-10,786,2.157142857142857
2020-04-11,972,1.2317880794701987
2020-04-12,1086,0.6129032258064516
2020-04-13,1198,0.9824561403508771
2020-04-14,1365,1.4910714285714286
2020-04-15,1509,0.8622754491017964
2020-04-16,1767,1.7916666666666667
2020-04-17,2040,1.058139534883721
2020-04-18,2466,1.5604395604395604
2020-04-19,2854,0.9107981220657277
2020-04-20,3273,1.0798969072164948
2020-04-21,3976,1.6778042959427208
2020-04-22,4370,0.5604551920341394
2020-04-23,5012,1.6294416243654823
2020-04-24,5496,0.7538940809968847
2020-04-25,5938,0.9132231404958677
2020-04-26,6523,1.3235294117647058
2020-04-27,7103,0.9914529914529915
2020-04-28,7739,1.096551724137931
2020-04-29,8429,1.0849056603773586
2020-04-30,9059,0.9130434782608695
2020-05-01,10021,1.5269841269841269
2020-05-02,10852,0.8638253638253638
2020-05-03,11763,1.0962695547533092
2020-05-04,12845,1.1877058177826565
2020-05-05,14140,1.1968576709796672
2020-05-06,15301,0.8965250965250965
2020-05-07,16776,1.2704565030146426
2020-05-08,17887,0.7532203389830509
2020-05-09,19301,1.2727272727272727
2020-05-10,20970,1.1803394625176804
2020-05-11,22549,0.9460754943079689
2020-05-12,24454,1.2064597846738443
2020-05-13,26417,1.0304461942257217
2020-05-14,28011,0.8120224146714213
2020-05-15,30245,1.4015056461731492
2020-05-16,34257,1.7958818263205014
2020-05-17,36795,0.6326021934197408
2020-05-18,39277,0.9779353821907013
2020-05-19,42309,1.2215954875100725
2020-05-20,45422,1.0267150395778364
2020-05-21,48553,1.0057822036620623
2020-05-22,51833,1.047588629830725
2020-05-23,54409,0.7853658536585366
2020-05-24,57694,1.2752329192546583
25-05-2020,0,1.2752329192546583
26-05-2020,0,1.2752329192546583
27-05-2020,0,1.2752329192546583
28-05-2020,0,1.2752329192546583
29-05-2020,0,1.2752329192546583
30-05-2020,0,1.2752329192546583
31-05-2020,0,1.2752329192546583
