Date,Total Confirmed,Total Recovered,Percentage
30-01-2020,1,0,0
31-01-2020,1,0,0
01-02-2020,1,0,0
02-02-2020,2,0,0
03-02-2020,3,0,0
04-02-2020,3,0,0
05-02-2020,3,0,0
06-02-2020,3,0,0
07-02-2020,3,0,0
08-02-2020,3,0,0
09-02-2020,3,0,0
10-02-2020,3,0,0
11-02-2020,3,0,0
12-02-2020,3,0,0
13-02-2020,3,1,33.33333333
14-02-2020,3,1,33.33333333
15-02-2020,3,1,33.33333333
16-02-2020,3,2,66.66666667
17-02-2020,3,2,66.66666667
18-02-2020,3,2,66.66666667
19-02-2020,3,2,66.66666667
20-02-2020,3,3,100
21-02-2020,3,3,100
22-02-2020,3,3,100
23-02-2020,3,3,100
24-02-2020,3,3,100
25-02-2020,3,3,100
26-02-2020,3,3,100
27-02-2020,3,3,100
28-02-2020,3,3,100
29-02-2020,3,3,100
01-03-2020,3,3,100
02-03-2020,5,3,60
03-03-2020,6,3,50
04-03-2020,28,3,10.71428571
05-03-2020,30,3,10
06-03-2020,31,3,9.677419355
07-03-2020,34,3,8.823529412
08-03-2020,39,3,7.692307692
09-03-2020,48,3,6.25
10-03-2020,63,4,6.349206349
11-03-2020,71,4,5.633802817
12-03-2020,81,4,4.938271605
13-03-2020,91,10,10.98901099
14-03-2020,102,10,9.803921569
15-03-2020,112,13,11.60714286
16-03-2020,126,14,11.11111111
17-03-2020,146,15,10.2739726
18-03-2020,171,15,8.771929825
19-03-2020,198,20,10.1010101
20-03-2020,256,23,8.984375
21-03-2020,334,23,6.886227545
22-03-2020,403,23,5.70719603
23-03-2020,497,25,5.030181087
24-03-2020,571,40,7.00525394
25-03-2020,657,43,6.544901065
26-03-2020,730,50,6.849315068
27-03-2020,883,75,8.493771234
28-03-2020,1019,85,8.341511286
29-03-2020,1139,102,8.955223881
30-03-2020,1326,137,10.33182504
31-03-2020,1635,150,9.174311927
01-04-2020,2059,169,8.207867897
02-04-2020,2545,191,7.504911591
03-04-2020,3105,230,7.407407407
04-04-2020,3684,286,7.76330076
05-04-2020,4293,329,7.663638481
06-04-2020,4777,394,8.247854302
07-04-2020,5350,469,8.76635514
08-04-2020,5915,565,9.551986475
09-04-2020,6728,635,9.438168847
10-04-2020,7599,786,10.34346625
11-04-2020,8453,972,11.49887614
12-04-2020,9211,1086,11.79025079
13-04-2020,10454,1198,11.45972833
14-04-2020,11485,1365,11.88506748
15-04-2020,12371,1509,12.19788214
16-04-2020,13432,1767,13.15515188
17-04-2020,14354,2040,14.21206632
18-04-2020,15725,2466,15.68203498
19-04-2020,17305,2854,16.49234325
20-04-2020,18544,3273,17.64991372
21-04-2020,20081,3976,19.79981077
22-04-2020,21373,4370,20.44635755
23-04-2020,23040,5012,21.75347222
24-04-2020,24448,5496,22.48036649
25-04-2020,26283,5938,22.59255032
26-04-2020,27890,6523,23.38831122
27-04-2020,29458,7103,24.11229547
28-04-2020,31360,7739,24.67793367
29-04-2020,33065,8429,25.49221231
30-04-2020,34866,9059,25.98233236
01-05-2020,37262,10021,26.89334979
02-05-2020,39826,10852,27.24853111
03-05-2020,42778,11763,27.49777923
04-05-2020,46434,12845,27.66291941
05-05-2020,49405,14140,28.62058496
06-05-2020,53007,15301,28.86599883
07-05-2020,56351,16776,29.77054533
08-05-2020,59690,17887,29.96649355
09-05-2020,62865,19301,30.70229858
10-05-2020,67176,20970,31.21650589
11-05-2020,70768,22549,31.86327154
12-05-2020,74330,24454,32.89923315
13-05-2020,78056,26417,33.84365071
14-05-2020,82047,28011,34.14018794
15-05-2020,85855,30245,35.2280007
16-05-2020,90649,34257,37.79081953
17-05-2020,95698,36795,38.4490794
18-05-2020,100326,39277,39.14937304
19-05-2020,106480,42309,39.73422239
20-05-2020,112196,45422,40.48450925
