Date,Total Deceased Cases,State,Growth Factor
2020-03-20,0,Gujarat,0.0
2020-03-21,0,Gujarat,0.0
2020-03-22,1,Gujarat,0.0
2020-03-23,1,Gujarat,0.0
2020-03-24,1,Gujarat,0.0
2020-03-25,1,Gujarat,0.0
2020-03-26,3,Gujarat,0.0
2020-03-27,3,Gujarat,0.0
2020-03-28,3,Gujarat,0.0
2020-03-29,4,Gujarat,0.0
2020-03-30,5,Gujarat,1.0
2020-03-31,6,Gujarat,1.0
2020-04-01,6,Gujarat,0.0
2020-04-02,6,Gujarat,0.0
2020-04-03,7,Gujarat,0.0
2020-04-04,9,Gujarat,2.0
2020-04-05,10,Gujarat,0.5
2020-04-06,11,Gujarat,1.0
2020-04-07,12,Gujarat,1.0
2020-04-08,13,Gujarat,1.0
2020-04-09,16,Gujarat,3.0
2020-04-10,17,Gujarat,0.3333333333333333
2020-04-11,19,Gujarat,2.0
2020-04-12,22,Gujarat,1.5
2020-04-13,25,Gujarat,1.0
2020-04-14,26,Gujarat,0.3333333333333333
2020-04-15,28,Gujarat,2.0
2020-04-16,33,Gujarat,2.5
2020-04-17,38,Gujarat,1.0
2020-04-18,41,Gujarat,0.6
2020-04-19,53,Gujarat,4.0
2020-04-20,63,Gujarat,0.8333333333333334
2020-04-21,71,Gujarat,0.8
2020-04-22,90,Gujarat,2.375
2020-04-23,103,Gujarat,0.6842105263157895
2020-04-24,112,Gujarat,0.6923076923076923
2020-04-25,127,Gujarat,1.6666666666666667
2020-04-26,133,Gujarat,0.4
2020-04-27,151,Gujarat,3.0
2020-04-28,162,Gujarat,0.6111111111111112
2020-04-29,181,Gujarat,1.7272727272727273
2020-04-30,197,Gujarat,0.8421052631578947
2020-05-01,214,Gujarat,1.0625
2020-05-02,236,Gujarat,1.2941176470588236
2020-05-03,262,Gujarat,1.1818181818181819
2020-05-04,290,Gujarat,1.0769230769230769
2020-05-05,319,Gujarat,1.0357142857142858
2020-05-06,368,Gujarat,1.6896551724137931
2020-05-07,396,Gujarat,0.5714285714285714
2020-05-08,425,Gujarat,1.0357142857142858
2020-05-09,449,Gujarat,0.8275862068965517
2020-05-10,472,Gujarat,0.9583333333333334
2020-05-11,493,Gujarat,0.9130434782608695
2020-05-12,513,Gujarat,0.9523809523809523
2020-05-13,537,Gujarat,1.2
2020-05-14,566,Gujarat,1.2083333333333333
2020-05-15,586,Gujarat,0.6896551724137931
2020-05-16,606,Gujarat,1.0
2020-05-17,625,Gujarat,0.95
2020-05-18,625,Gujarat,0.0
2020-05-19,694,Gujarat,0.0
2020-05-20,719,Gujarat,0.36231884057971014
