Date,Total Confirmed Cases,State,Growth Factor
2020-03-09,2,Maharashtra,0.0
2020-03-10,5,Maharashtra,0.0
2020-03-11,10,Maharashtra,1.6666666666666667
2020-03-12,11,Maharashtra,0.2
2020-03-13,11,Maharashtra,0.0
2020-03-14,14,Maharashtra,0.0
2020-03-15,32,Maharashtra,6.0
2020-03-16,32,Maharashtra,0.0
2020-03-17,39,Maharashtra,0.0
2020-03-18,42,Maharashtra,0.42857142857142855
2020-03-19,47,Maharashtra,1.6666666666666667
2020-03-20,47,Maharashtra,0.0
2020-03-21,63,Maharashtra,0.0
2020-03-22,67,Maharashtra,0.25
2020-03-23,74,Maharashtra,1.75
2020-03-24,89,Maharashtra,2.142857142857143
2020-03-25,128,Maharashtra,2.6
2020-03-26,124,Maharashtra,-0.10256410256410256
2020-03-27,130,Maharashtra,-1.5
2020-03-28,180,Maharashtra,8.333333333333334
2020-03-29,186,Maharashtra,0.12
2020-03-30,193,Maharashtra,1.1666666666666667
2020-03-31,216,Maharashtra,3.2857142857142856
2020-04-01,302,Maharashtra,3.739130434782609
2020-04-02,335,Maharashtra,0.38372093023255816
2020-04-03,335,Maharashtra,0.0
2020-04-04,423,Maharashtra,0.0
2020-04-05,490,Maharashtra,0.7613636363636364
2020-04-06,690,Maharashtra,2.985074626865672
2020-04-07,748,Maharashtra,0.29
2020-04-08,1018,Maharashtra,4.655172413793103
2020-04-09,1135,Maharashtra,0.43333333333333335
2020-04-10,1364,Maharashtra,1.9572649572649572
2020-04-11,1574,Maharashtra,0.9170305676855895
2020-04-12,1761,Maharashtra,0.8904761904761904
2020-04-13,1985,Maharashtra,1.1978609625668448
2020-04-14,2337,Maharashtra,1.5714285714285714
2020-04-15,2687,Maharashtra,0.9943181818181818
2020-04-16,2916,Maharashtra,0.6542857142857142
2020-04-17,3205,Maharashtra,1.262008733624454
2020-04-18,3323,Maharashtra,0.4083044982698962
2020-04-19,3651,Maharashtra,2.7796610169491527
2020-04-20,4203,Maharashtra,1.6829268292682926
2020-04-21,4666,Maharashtra,0.8387681159420289
2020-04-22,5218,Maharashtra,1.1922246220302375
2020-04-23,5652,Maharashtra,0.7862318840579711
2020-04-24,6430,Maharashtra,1.792626728110599
2020-04-25,6817,Maharashtra,0.4974293059125964
2020-04-26,7628,Maharashtra,2.095607235142119
2020-04-27,8068,Maharashtra,0.5425400739827374
2020-04-28,8590,Maharashtra,1.1863636363636363
2020-04-29,9318,Maharashtra,1.3946360153256705
2020-04-30,9915,Maharashtra,0.820054945054945
2020-05-01,10498,Maharashtra,0.9765494137353434
2020-05-02,11506,Maharashtra,1.7289879931389365
2020-05-03,12296,Maharashtra,0.7837301587301587
2020-05-04,12974,Maharashtra,0.8582278481012658
2020-05-05,14541,Maharashtra,2.3112094395280236
2020-05-06,15525,Maharashtra,0.6279514996809189
2020-05-07,16758,Maharashtra,1.2530487804878048
2020-05-08,17974,Maharashtra,0.986212489862125
2020-05-09,19063,Maharashtra,0.8955592105263158
2020-05-10,20228,Maharashtra,1.0697887970615243
2020-05-11,22171,Maharashtra,1.6678111587982833
2020-05-12,23401,Maharashtra,0.6330416881111683
2020-05-13,24427,Maharashtra,0.8341463414634146
2020-05-14,25922,Maharashtra,1.4571150097465886
2020-05-15,27524,Maharashtra,1.071571906354515
2020-05-16,29100,Maharashtra,0.9837702871410736
2020-05-17,30706,Maharashtra,1.0190355329949239
2020-05-18,30706,Maharashtra,0.0
2020-05-19,35058,Maharashtra,0.0
2020-05-20,37136,Maharashtra,0.4774816176470588
21-05-2020,0,Maharashtra
22-05-2020,0,Maharashtra
23-05-2020,0,Maharashtra
24-05-2020,0,Maharashtra
25-05-2020,0,Maharashtra
26-05-2020,0,Maharashtra
27-05-2020,0,Maharashtra
