Date,Total Confirmed Cases,State,Growth Factor
2020-03-04,1,Rajasthan,0.0
2020-03-05,1,Rajasthan,0.0
2020-03-06,1,Rajasthan,0.0
2020-03-07,1,Rajasthan,0.0
2020-03-08,1,Rajasthan,0.0
2020-03-09,1,Rajasthan,0.0
2020-03-10,1,Rajasthan,0.0
2020-03-11,3,Rajasthan,0.0
2020-03-12,3,Rajasthan,0.0
2020-03-13,3,Rajasthan,0.0
2020-03-14,3,Rajasthan,0.0
2020-03-15,4,Rajasthan,0.0
2020-03-16,4,Rajasthan,0.0
2020-03-17,4,Rajasthan,0.0
2020-03-18,4,Rajasthan,0.0
2020-03-19,7,Rajasthan,0.0
2020-03-20,7,Rajasthan,0.0
2020-03-21,17,Rajasthan,0.0
2020-03-22,24,Rajasthan,0.7
2020-03-23,28,Rajasthan,0.5714285714285714
2020-03-24,32,Rajasthan,1.0
2020-03-25,36,Rajasthan,1.0
2020-03-26,41,Rajasthan,1.25
2020-03-27,41,Rajasthan,0.0
2020-03-28,54,Rajasthan,0.0
2020-03-29,54,Rajasthan,0.0
2020-03-30,57,Rajasthan,0.0
2020-03-31,74,Rajasthan,5.666666666666667
2020-04-01,93,Rajasthan,1.1176470588235294
2020-04-02,108,Rajasthan,0.7894736842105263
2020-04-03,133,Rajasthan,1.6666666666666667
2020-04-04,179,Rajasthan,1.84
2020-04-05,200,Rajasthan,0.45652173913043476
2020-04-06,253,Rajasthan,2.5238095238095237
2020-04-07,288,Rajasthan,0.660377358490566
2020-04-08,328,Rajasthan,1.1428571428571428
2020-04-09,381,Rajasthan,1.325
2020-04-10,463,Rajasthan,1.5471698113207548
2020-04-11,553,Rajasthan,1.0975609756097562
2020-04-12,700,Rajasthan,1.6333333333333333
2020-04-13,804,Rajasthan,0.7074829931972789
2020-04-14,879,Rajasthan,0.7211538461538461
2020-04-15,969,Rajasthan,1.2
2020-04-16,1023,Rajasthan,0.6
2020-04-17,1131,Rajasthan,2.0
2020-04-18,1229,Rajasthan,0.9074074074074074
2020-04-19,1351,Rajasthan,1.2448979591836735
2020-04-20,1478,Rajasthan,1.040983606557377
2020-04-21,1576,Rajasthan,0.7716535433070866
2020-04-22,1659,Rajasthan,0.8469387755102041
2020-04-23,1890,Rajasthan,2.783132530120482
2020-04-24,1964,Rajasthan,0.3203463203463203
2020-04-25,2034,Rajasthan,0.9459459459459459
2020-04-26,2083,Rajasthan,0.7
2020-04-27,2185,Rajasthan,2.0816326530612246
2020-04-28,2262,Rajasthan,0.7549019607843137
2020-04-29,2364,Rajasthan,1.3246753246753247
2020-04-30,2438,Rajasthan,0.7254901960784313
2020-05-01,2584,Rajasthan,1.972972972972973
2020-05-02,2666,Rajasthan,0.5616438356164384
2020-05-03,2770,Rajasthan,1.2682926829268293
2020-05-04,2886,Rajasthan,1.1153846153846154
2020-05-05,3061,Rajasthan,1.5086206896551724
2020-05-06,3158,Rajasthan,0.5542857142857143
2020-05-07,3317,Rajasthan,1.6391752577319587
2020-05-08,3427,Rajasthan,0.6918238993710691
2020-05-09,3579,Rajasthan,1.3818181818181818
2020-05-10,3708,Rajasthan,0.8486842105263158
2020-05-11,3814,Rajasthan,0.8217054263565892
2020-05-12,3988,Rajasthan,1.6415094339622642
2020-05-13,4126,Rajasthan,0.7931034482758621
2020-05-14,4328,Rajasthan,1.463768115942029
2020-05-15,4534,Rajasthan,1.0198019801980198
2020-05-16,4727,Rajasthan,0.9368932038834952
2020-05-17,4960,Rajasthan,1.2072538860103628
2020-05-18,4960,Rajasthan,0.0
2020-05-19,5507,Rajasthan,0.0
2020-05-20,5845,Rajasthan,0.6179159049360147
