Date,Total Deceased Cases,State,Growth Factor
2020-03-04,0,Rajasthan,0.0
2020-03-05,0,Rajasthan,0.0
2020-03-06,0,Rajasthan,0.0
2020-03-07,0,Rajasthan,0.0
2020-03-08,0,Rajasthan,0.0
2020-03-09,0,Rajasthan,0.0
2020-03-10,0,Rajasthan,0.0
2020-03-11,0,Rajasthan,0.0
2020-03-12,0,Rajasthan,0.0
2020-03-13,0,Rajasthan,0.0
2020-03-14,0,Rajasthan,0.0
2020-03-15,0,Rajasthan,0.0
2020-03-16,0,Rajasthan,0.0
2020-03-17,0,Rajasthan,0.0
2020-03-18,0,Rajasthan,0.0
2020-03-19,0,Rajasthan,0.0
2020-03-20,0,Rajasthan,0.0
2020-03-21,0,Rajasthan,0.0
2020-03-22,0,Rajasthan,0.0
2020-03-23,0,Rajasthan,0.0
2020-03-24,0,Rajasthan,0.0
2020-03-25,0,Rajasthan,0.0
2020-03-26,0,Rajasthan,0.0
2020-03-27,0,Rajasthan,0.0
2020-03-28,0,Rajasthan,0.0
2020-03-29,0,Rajasthan,0.0
2020-03-30,0,Rajasthan,0.0
2020-03-31,0,Rajasthan,0.0
2020-04-01,0,Rajasthan,0.0
2020-04-02,0,Rajasthan,0.0
2020-04-03,0,Rajasthan,0.0
2020-04-04,0,Rajasthan,0.0
2020-04-05,0,Rajasthan,0.0
2020-04-06,0,Rajasthan,0.0
2020-04-07,3,Rajasthan,0.0
2020-04-08,3,Rajasthan,0.0
2020-04-09,3,Rajasthan,0.0
2020-04-10,3,Rajasthan,0.0
2020-04-11,3,Rajasthan,0.0
2020-04-12,3,Rajasthan,0.0
2020-04-13,3,Rajasthan,0.0
2020-04-14,3,Rajasthan,0.0
2020-04-15,3,Rajasthan,0.0
2020-04-16,3,Rajasthan,0.0
2020-04-17,11,Rajasthan,0.0
2020-04-18,11,Rajasthan,0.0
2020-04-19,11,Rajasthan,0.0
2020-04-20,14,Rajasthan,0.0
2020-04-21,25,Rajasthan,3.6666666666666665
2020-04-22,25,Rajasthan,0.0
2020-04-23,27,Rajasthan,0.0
2020-04-24,27,Rajasthan,0.0
2020-04-25,27,Rajasthan,0.0
2020-04-26,33,Rajasthan,0.0
2020-04-27,33,Rajasthan,0.0
2020-04-28,46,Rajasthan,0.0
2020-04-29,51,Rajasthan,0.38461538461538464
2020-04-30,51,Rajasthan,0.0
2020-05-01,58,Rajasthan,0.0
2020-05-02,62,Rajasthan,0.5714285714285714
2020-05-03,65,Rajasthan,0.75
2020-05-04,71,Rajasthan,2.0
2020-05-05,77,Rajasthan,1.0
2020-05-06,89,Rajasthan,2.0
2020-05-07,92,Rajasthan,0.25
2020-05-08,97,Rajasthan,1.6666666666666667
2020-05-09,101,Rajasthan,0.8
2020-05-10,106,Rajasthan,1.25
2020-05-11,107,Rajasthan,0.2
2020-05-12,113,Rajasthan,6.0
2020-05-13,117,Rajasthan,0.6666666666666666
2020-05-14,121,Rajasthan,1.0
2020-05-15,125,Rajasthan,1.0
2020-05-16,125,Rajasthan,0.0
2020-05-17,126,Rajasthan,0.0
2020-05-18,126,Rajasthan,0.0
2020-05-19,138,Rajasthan,0.0
2020-05-20,143,Rajasthan,0.4166666666666667
